TABLE_QUALIFIER                                                                                                                  TABLE_OWNER                                                                                                                      TABLE_NAME                                                                                                                       TABLE_TYPE                       REMARKS                                                                                                                                                                                                                                                       
ODA                                                                                                                              sys                                                                                                                              dm_db_log_space_usage                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_mirroring_auto_page_repair                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_mirroring_connections                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_mirroring_past_actions                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_missing_index_details                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_missing_index_group_stats                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_missing_index_group_stats_query                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_missing_index_groups                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_partition_stats                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_persisted_sku_features                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_rda_migration_status                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_rda_schema_update_status                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_script_level                                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_session_space_usage                                                                                                        VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_storage_pool_nodes                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_storage_pools                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_task_space_usage                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_tuning_recommendations                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_uncontained_entities                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_checkpoint_files                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_checkpoint_internals                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_checkpoint_stats                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_gc_cycle_stats                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_hash_index_stats                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_index_stats                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_memory_consumers                                                                                                       VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_nonclustered_index_stats                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_object_stats                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_table_memory_stats                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_db_xtp_transactions                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dist_requests                                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_distributed_exchange_stats                                                                                                    VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_databases                                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_locks                                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_pit_databases                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_quality_clustering                                                                                                         VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_quality_delta                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_quality_index                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_quality_row_group                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_resource_manager_abort_cache                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_resource_manager_active_tran                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_tran_manager_abort_cache                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_tran_manager_active_cache                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_dw_tran_manager_commit_cache                                                                                                  VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_background_job_queue                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_background_job_queue_stats                                                                                               VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_cached_plans                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_compute_node_errors                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_compute_node_status                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_compute_nodes                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_compute_pools                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_connections                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_distributed_request_steps                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_distributed_requests                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_distributed_sql_requests                                                                                                 VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_dms_services                                                                                                             VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_dms_workers                                                                                                              VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_external_operations                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_external_work                                                                                                            VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_function_stats                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_procedure_stats                                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_query_memory_grants                                                                                                      VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_query_optimizer_info                                                                                                     VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_query_optimizer_memory_gateways                                                                                          VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_query_parallel_workers                                                                                                   VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_query_profiles                                                                                                           VIEW                             NULL                                                                                                                                                                                                                                                          
ODA                                                                                                                              sys                                                                                                                              dm_exec_query_resource_semaphores                                                                                                VIEW                             NULL                                                                                                                                                                                                                                                          
